corporateNumber;city
380168437;Bogotá, D.C. - Bogotá
3900785215;Bogotá-Bogota D.C.
3830073841;Bogotá-Bogota D.C.
3901123451;Bogotá-Bogota D.C.
3901369365;Armenia -Quindio
3900459157;Bogotá-Bogota D.C.
3860530559;Bogotá-Bogota D.C.
3901374971;Yopal - Casanare
3800039813;Funza -Cundinamarca
3900607990;Bogotá, D.C. - Bogotá
3901000057;Bogotá-Bogota D.C.
3900532663;Bogotá-Bogota D.C.
3901299905;Villavicencio -Meta
3901499132;Restrepo - Meta
3900909397;Bogotá-Bogota D.C.
3900440838;Cali -Valle
3901044298;Cali -Valle
3830054581;Bogotá-Bogota D.C.
3901596143;Popayán -Cauca
3901560487;Villamaria - Caldas
3901474491;Bogotá-Bogota D.C.
3900024602;Bogotá-Bogota D.C.
3900066288;Cali - Valle Del Cauca
3900760280;La Mesa -Cundinamarca
3800175166;Tuluá -Valle
3805029544;Cali -Valle
3800253444;Cali -Valle
3900475062;Montería - Córdoba
3900333982;Tuluá - Valle Del Cauca
3860058831;Bogotá-Bogota D.C.
3822006178;Villavicencio -Meta
3901423259;Bogotá, D.C. - Bogotá
3901312175;Arauca -Arauca
3900148470;Bogotá-Bogota D.C.
3900991912;Bogotá-Bogota D.C.
3901576319;Guadalajara De Buga -Valle
3860001615;Bogotá-Bogota D.C.
3900260317;Bogotá-Bogota D.C.
3860531602;Bogotá-Bogota D.C.
3900845312;Cali - Valle Del Cauca
3860051945;Bogotá, D.C. - Bogotá
3901073314;Bogotá-Bogota D.C.
3830139784;Bogotá, D.C. - Bogotá
3900278019;Funza -Cundinamarca
3900447875;Villavicencio -Meta
3901038007;Bogotá, D.C. - Bogotá
3900363032;Medellin -Antioquia
3901493162;Villa De San Diego De Ubaté - Cundinamarca
3900339467;Bogotá-Bogota D.C.
3901021294;Bogotá-Bogota D.C.
3901009895;Villavicencio - Meta
3900625467;Yopal -Casanare
3900081723;Facatativá -Cundinamarca
3901174995;Villavicencio -Meta
3890301775;Yumbo -Valle
3901783025;Sincelejo - Sucre
3900712385;Mosquera -Cundinamarca
3830044356;Funza -Cundinamarca
3900064250;Barrancabermeja - Santander
3800244319;Bogotá-Bogota D.C.
3901203684;San Jose Del Guaviare -Guaviare
3901514822;Bogotá-Bogota D.C.
3901074152;Bogotá-Bogota D.C.
3830508846;Bogotá-Bogota D.C.
3800223811;Bogotá, D.C. - Bogotá
3900119390;Bogotá-Bogota D.C.
3800054239;Villavicencio -Meta
3800180390;Bogotá-Bogota D.C.
3900341241;Bogotá-Bogota D.C.
3901185856;Guadalajara De Buga - Valle Del Cauca
3900298510;Bogotá-Bogota D.C.
3805016429;Cali -Valle
3901804973;Armenia - Quindío
3900600371;Tuluá -Valle
3901326675;Bogotá, D.C. - Bogotá
3900462686;Bogotá-Bogota D.C.
3901027402;Ibagué - Tolima
3901438836;Villavicencio - Meta
3900713568;Dosquebradas - Risaralda
3830051924;Bogotá-Bogota D.C.
3830000556;Bogotá-Bogota D.C.
3900645079;Bogotá-Bogota D.C.
3901044911;Bogotá-Bogota D.C.
3901301976;Madrid -Cundinamarca
3900423681;Villavicencio -Meta
3900014559;Bogotá-Bogota D.C.
3901354300;Bogotá-Bogota D.C.
3901214103;Villavicencio -Meta
3900296271;Bogotá-Bogota D.C.
3809000735;Ibagué -Tolima
3900497713;Bogotá-Bogota D.C.
3900770635;Palmira -Valle
3901363615;Puerto Gaitán - Meta
3900159568;Bogotá-Bogota D.C.
3900313728;Bogotá-Bogota D.C.
3830094598;Bogotá-Bogota D.C.
3805006187;Cali -Valle
3901201644;Bucaramanga - Santander
3900727355;Santa Marta -Magdalena
3901072193;Guamal - Meta
3830104746;Bogotá-Bogota D.C.
3813006836;Bogotá, D.C. - Bogotá
3891380000;El Cerrito - Valle Del Cauca
3900134635;Bogotá-Bogota D.C.
3901125271;Abejorral -Antioquia
3901277310;San Miguel -Putumayo
3901513194;Bogotá-Bogota D.C.
3900426171;Bogotá-Bogota D.C.
3900995032;Manizales - Caldas
3901531891;Yumbo -Valle
3900384449;Espinal - Tolima
3890702034;Lérida - Tolima
3800134597;Bogotá-Bogota D.C.
3900192581;Bogotá-Bogota D.C.
3900687495;Bogotá-Bogota D.C.
3900639678;Cúcuta - Norte de Santander
3900709798;Aguachica - Cesar
3830103693;Yopal -Casanare
3900516315;Popayán -Cauca
3830111586;Bogotá-Bogota D.C.
3900529038;Bogotá-Bogota D.C.
3830094679;Mosquera -Cundinamarca
3800251087;Bogotá, D.C. - Bogotá
3900410496;Bogotá-Bogota D.C.
3901063301;Madrid - Cundinamarca
3900923175;Cali - Valle Del Cauca
3901230640;Bucaramanga - Santander
3900318604;Yopal -Casanare
3900468098;Yopal - Casanare
3901323496;Bogotá-Bogota D.C.
3900671116;Bogotá-Bogota D.C.
3830500828;Bogotá-Bogota D.C.
3900420787;Bogotá-Bogota D.C.
3900630290;Zipaquirá -Cundinamarca
3800118776;Cota -Cundinamarca
3900379373;Palmira -Valle
3900396961;Bogotá-Bogota D.C.
3900517405;Bogotá-Bogota D.C.
3808001557;Fusagasugá -Cundinamarca
3800133063;Cota -Cundinamarca
3900959154;Palmira -Valle
3901364667;Bogotá-Bogota D.C.
3830096060;Bogotá-Bogota D.C.
3860350234;Cali -Valle
3901055828;Bogotá-Bogota D.C.
3900838988;Bogotá-Bogota D.C.
3800105031;Bogotá-Bogota D.C.
3901682308;Bogotá, D.C. - Bogotá
3901044272;Tenjo -Cundinamarca
3900922965;Santa Marta -Magdalena
3901583381;Bogotá, D.C. - Bogotá
3800246222;Cali -Valle
3901637402;Fómeque - Cundinamarca
3900715217;Tuluá -Valle
3901416258;Bucaramanga -Santander
3899999468;Sopó -Cundinamarca
3900426658;Cartago -Valle
3901148908;Guadalajara De Buga -Valle
3900564135;Candelaria -Valle
3901401440;Facatativá - Cundinamarca
3901298387;Tuluá -Valle
3900472888;Tuluá -Valle
3901049564;Villavicencio -Meta
3901110971;Funza -Cundinamarca
