corporateNumber;city;cityNew;flag
3901592479;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3800250475;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3800003781;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900731055;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830120152;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901353043;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901246958;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901149663;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900594987;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900156309;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900607559;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901413059;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900613669;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901180548;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3800079536;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3860005986;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900705854;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830066251;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830071114;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901114294;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3890110188;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3800131512;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900719939;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900813952;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901342471;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900649025;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900540382;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900377847;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900128137;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3860075498;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901254796;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900425436;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830006735;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830083386;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901015950;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901190645;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900361316;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901468413;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900757267;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900451443;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900892889;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901065408;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901056632;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901264054;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830029582;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3860042585;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3860504882;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830064013;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901141160;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901114718;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901532835;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3860002182;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3901459538;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3811045845;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900060018;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3830123305;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900130240;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900516700;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
3900831342;Bogotá-Bogota D.C.;Bogotá, D.C. - Bogotá;SI
