accountId;dateTransaction;dateTransactionNew;processDate1;processDate2
120811;2023-11-02T10:08.11.123;2023-11-02T10:08:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
19886;2023-11-04T07:06.11.123;2023-11-04T07:06:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
133495;2023-11-18T11:23.11.123;2023-11-18T11:23:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
136429;2023-11-19T05:09.11.123;2023-11-19T05:09:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
25690;2023-11-19T09:15.11.123;2023-11-19T09:15:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
140841;2023-12-06T02:52.11.123;2023-12-06T02:52:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
140841;2023-12-06T11:09.11.123;2023-12-06T11:09:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
88623;2024-01-04T02:19.11.123;2024-01-04T02:19:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
84748;2024-01-16T06:04.11.123;2024-01-16T06:04:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
99366;2024-01-18T02:55.11.123;2024-01-18T02:55:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
92006;2024-01-25T08:33.11.123;2024-01-25T08:33:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
90446;2024-02-11T07:47.11.123;2024-02-11T07:47:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
84639;2024-02-11T08:00.11.123;2024-02-11T08:00:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
31688;2024-02-13T04:26.11.123;2024-02-13T04:26:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
69905;2024-02-17T11:29.11.123;2024-02-17T11:29:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
137874;2024-02-18T08:26.11.123;2024-02-18T08:26:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
126577;2024-03-01T04:14.11.123;2024-03-01T04:14:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
96316;2024-03-06T03:12.11.123;2024-03-06T03:12:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
38725;2024-03-19T10:04.11.123;2024-03-19T10:04:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
96316;2024-03-20T01:11.11.123;2024-03-20T01:11:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8103;2024-04-01T05:00.11.123;2024-04-01T05:00:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8103;2024-04-01T10:28.11.123;2024-04-01T10:28:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8851;2024-04-02T02:12.11.123;2024-04-02T02:12:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8103;2024-04-02T03:50.11.123;2024-04-02T03:50:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8103;2024-04-02T07:05.11.123;2024-04-02T07:05:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8296;2024-04-02T09:08.11.123;2024-04-02T09:08:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8296;2024-04-02T09:08.11.123;2024-04-02T09:08:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8296;2024-04-03T07:56.11.123;2024-04-03T07:56:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8103;2024-04-03T11:03.11.123;2024-04-03T11:03:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8296;2024-04-06T02:00.11.123;2024-04-06T02:00:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8296;2024-04-07T07:34.11.123;2024-04-07T07:34:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8296;2024-04-09T08:02.11.123;2024-04-09T08:02:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
15522;2024-05-19T08:58.11.123;2024-05-19T08:58:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
33783;2024-06-04T02:13.11.123;2024-06-04T02:13:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9091;2024-06-04T02:15.11.123;2024-06-04T02:15:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
26919;2023-01-19T04:10.11.123;2023-01-19T04:10:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
14508;2023-01-19T06:34.11.123;2023-01-19T06:34:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8607;2023-01-19T06:44.11.123;2023-01-19T06:44:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8296;2023-01-19T06:48.11.123;2023-01-19T06:48:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
16733;2023-01-19T08:20.11.123;2023-01-19T08:20:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37484;2023-01-19T08:44.11.123;2023-01-19T08:44:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18687;2023-01-19T03:58.11.123;2023-01-19T03:58:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18900;2023-01-19T04:16.11.123;2023-01-19T04:16:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-19T04:27.11.123;2023-01-19T04:27:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-19T04:58.11.123;2023-01-19T04:58:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18687;2023-01-19T05:09.11.123;2023-01-19T05:09:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9464;2023-01-19T05:31.11.123;2023-01-19T05:31:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9436;2023-01-19T07:48.11.123;2023-01-19T07:48:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9618;2023-01-19T09:32.11.123;2023-01-19T09:32:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8977;2023-01-19T09:36.11.123;2023-01-19T09:36:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18900;2023-01-19T09:38.11.123;2023-01-19T09:38:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-19T09:57.11.123;2023-01-19T09:57:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37943;2023-01-19T11:07.11.123;2023-01-19T11:07:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37219;2023-01-19T11:27.11.123;2023-01-19T11:27:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18841;2023-01-20T01:00.11.123;2023-01-20T01:00:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9090;2023-01-20T01:29.11.123;2023-01-20T01:29:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
24780;2023-01-20T01:31.11.123;2023-01-20T01:31:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
24780;2023-01-20T01:37.11.123;2023-01-20T01:37:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37188;2023-01-20T01:55.11.123;2023-01-20T01:55:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9090;2023-01-20T02:19.11.123;2023-01-20T02:19:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37189;2023-01-20T02:30.11.123;2023-01-20T02:30:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9436;2023-01-20T02:42.11.123;2023-01-20T02:42:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
26919;2023-01-20T02:48.11.123;2023-01-20T02:48:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18687;2023-01-20T02:50.11.123;2023-01-20T02:50:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8886;2023-01-20T03:02.11.123;2023-01-20T03:02:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8001;2023-01-20T03:03.11.123;2023-01-20T03:03:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9091;2023-01-20T03:20.11.123;2023-01-20T03:20:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
35845;2023-01-20T03:28.11.123;2023-01-20T03:28:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
20958;2023-01-20T03:38.11.123;2023-01-20T03:38:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8977;2023-01-20T03:45.11.123;2023-01-20T03:45:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
22525;2023-01-20T03:51.11.123;2023-01-20T03:51:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9090;2023-01-20T03:57.11.123;2023-01-20T03:57:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-20T04:09.11.123;2023-01-20T04:09:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8977;2023-01-20T04:33.11.123;2023-01-20T04:33:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9454;2023-01-20T04:45.11.123;2023-01-20T04:45:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-20T04:48.11.123;2023-01-20T04:48:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
26919;2023-01-20T04:52.11.123;2023-01-20T04:52:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37189;2023-01-20T05:07.11.123;2023-01-20T05:07:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
36966;2023-01-20T05:11.11.123;2023-01-20T05:11:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
23350;2023-01-20T05:18.11.123;2023-01-20T05:18:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9224;2023-01-20T05:49.11.123;2023-01-20T05:49:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
22525;2023-01-20T06:05.11.123;2023-01-20T06:05:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
21396;2023-01-20T06:21.11.123;2023-01-20T06:21:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18841;2023-01-20T06:26.11.123;2023-01-20T06:26:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
26919;2023-01-20T06:38.11.123;2023-01-20T06:38:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37943;2023-01-20T06:39.11.123;2023-01-20T06:39:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
26919;2023-01-20T07:20.11.123;2023-01-20T07:20:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
16733;2023-01-20T07:57.11.123;2023-01-20T07:57:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
8977;2023-01-20T08:13.11.123;2023-01-20T08:13:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18687;2023-01-20T08:24.11.123;2023-01-20T08:24:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-20T08:40.11.123;2023-01-20T08:40:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
22525;2023-01-20T08:58.11.123;2023-01-20T08:58:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37189;2023-01-20T10:09.11.123;2023-01-20T10:09:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37189;2023-01-20T10:51.11.123;2023-01-20T10:51:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-20T10:58.11.123;2023-01-20T10:58:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
36966;2023-01-20T11:02.11.123;2023-01-20T11:02:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37188;2023-01-20T11:22.11.123;2023-01-20T11:22:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
16733;2023-01-20T11:47.11.123;2023-01-20T11:47:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37484;2023-01-20T11:55.11.123;2023-01-20T11:55:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-20T11:59.11.123;2023-01-20T11:59:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-20T12:13.11.123;2023-01-20T12:13:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-20T12:26.11.123;2023-01-20T12:26:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
9091;2023-01-20T12:27.11.123;2023-01-20T12:27:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-20T12:35.11.123;2023-01-20T12:35:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18841;2023-01-20T12:41.11.123;2023-01-20T12:41:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
22525;2023-01-20T12:46.11.123;2023-01-20T12:46:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18492;2023-01-20T12:53.11.123;2023-01-20T12:53:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
16733;2023-01-20T12:53.11.123;2023-01-20T12:53:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18687;2023-01-20T12:57.11.123;2023-01-20T12:57:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37189;2023-01-23T08:20.11.123;2023-01-23T08:20:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-23T09:01.11.123;2023-01-23T09:01:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
26919;2023-01-23T09:07.11.123;2023-01-23T09:07:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18900;2023-01-23T09:16.11.123;2023-01-23T09:16:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
16733;2023-01-23T09:36.11.123;2023-01-23T09:36:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
36966;2023-01-23T09:43.11.123;2023-01-23T09:43:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
22525;2023-01-26T08:17.11.123;2023-01-26T08:17:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
18940;2023-01-26T08:33.11.123;2023-01-26T08:33:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
35206;2023-01-26T08:36.11.123;2023-01-26T08:36:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
12987;2023-01-26T09:30.11.123;2023-01-26T09:30:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
37565;2023-01-26T10:02.11.123;2023-01-26T10:02:11.123;2024-07-24T00:00:00.000;2024-07-24T23:59:59.000
